"Date","Plan..KZT","Fact..KZT..with.discount.","Fact..KZT..without.discount.","Diff..KZT","Average.discount","Traffic","Receipt..customers.","Sold.pcs","pcs..customers","Averame.amount.of.cheque","Average.price.piece","Qty.of.hours","Productivity","Cost.of.sales"
"6/18/2017",2600000,2102490,3092300,-497510,32.01,1682,105,214,2.04,20023.71,9824.72,68,30919,823043
"6/19/2017",1100000,934580,1331950,-165420,29.83,878,57,101,1.77,16396.14,9253.27,56,16689,348822
"6/20/2017",1100000,916810,1329950,-183190,31.06,880,60,101,1.68,15280.17,9077.33,48,19100,370911
"6/21/2017",1100000,1056720,1510900,-43280,30.06,1014,79,122,1.54,13376.2,8661.64,54,19569,398509
"6/22/2017",1100000,852640,1147100,-247360,25.67,1024,47,98,2.09,18141.28,8700.41,58,14701,310718
"6/23/2017",1100000,890570,1099450,-209430,19,1283,51,91,1.78,17462.16,9786.48,60,14843,288312
"6/24/2017",2600000,1793980,2407000,-806020,25.47,2111,92,180,1.96,19499.78,9966.56,70,25628,654488
"6/25/2017",2600000,1694160,2163250,-905840,21.68,1419,90,155,1.72,18824,10930.06,70,24202,588927
"6/26/2017",1100000,1048860,1350150,-51140,22.32,983,53,97,1.83,19789.81,10812.99,54,19423,371432
"6/27/2017",1100000,1102790,1512850,2790,27.11,1071,50,103,2.06,22055.8,10706.7,54,20422,390168
"6/28/2017",1100000,857200,1078200,-242800,20.5,1048,44,76,1.73,19481.82,11278.95,46,18635,304548
"6/29/2017",1100000,1240120,1710200,140120,27.49,1413,61,116,1.9,20329.84,10690.69,52,23848,427579
"6/30/2017",1100000,1011400,1368000,-88600,26.07,1237,54,100,1.85,18729.63,10114,56,18061,349577
"7/1/2017",1200000,1159440,1530350,-40560,24.24,1496,66,113,1.71,17567.27,10260.53,66,17567,370671
"7/2/2017",2200000,1929150,2643600,-270850,27.03,1622,99,188,1.9,19486.36,10261.44,62,31115,692075
"7/3/2017",1200000,1070470,1442200,-129530,25.78,1038,56,96,1.71,19115.54,11150.73,44,24329,363838
"7/4/2017",1200000,809960,1127050,-390040,28.13,851,43,79,1.84,18836.28,10252.66,50,16199,283745
"7/5/2017",1200000,948800,1266350,-251200,25.08,1108,46,93,2.02,20626.09,10202.15,50,18976,331076
"7/6/2017",2400000,1763620,2346450,-636380,24.84,2113,103,171,1.66,17122.52,10313.57,56,31493,622821
"7/7/2017",2200000,1390610,2059650,-809390,32.48,1570,86,147,1.71,16169.88,9459.93,40,34765,553490
"7/8/2017",2e+06,1319770,1871250,-680230,29.47,1414,80,135,1.69,16497.13,9776.07,66,19997,487035
"7/9/2017",1600000,1293370,1787800,-306630,27.66,1525,70,124,1.77,18476.71,10430.4,76,17018,472737
"7/10/2017",1200000,926480,1317850,-273520,29.7,1034,58,83,1.43,15973.79,11162.41,48,19302,333477
"7/11/2017",1200000,874640,1267100,-325360,30.97,917,41,78,1.9,21332.68,11213.33,50,17493,330340
"7/12/2017",1200000,1140380,2229850,-59620,48.86,1253,75,143,1.91,15205.07,7974.69,56,20364,540368
"7/13/2017",1200000,1071210,1948650,-128790,45.03,1179,77,127,1.65,13911.82,8434.72,58,18469,488044
"7/14/2017",1200000,1154950,2146500,-45050,46.19,1591,75,130,1.73,15399.33,8884.23,36,32082,541515
"7/15/2017",2400000,1681570,3140750,-718430,46.46,2019,111,205,1.85,15149.28,8202.78,76,22126,795548
"7/16/2017",2400000,2125950,3818350,-274050,44.32,2049,131,239,1.82,16228.63,8895.19,68,31264,933777
"7/17/2017",1200000,1306550,2363800,106550,44.73,1313,71,144,2.03,18402.11,9073.26,56,23331,579855
"7/18/2017",1200000,799230,1531510,-400770,47.81,872,56,99,1.77,14271.96,8073.03,38,21032,384523
"7/19/2017",1200000,1078500,1871250,-121500,42.36,1077,62,115,1.85,17395.16,9378.26,58,18595,438006
"7/20/2017",1200000,927850,1753650,-272150,47.09,1102,60,107,1.78,15464.17,8671.5,56,16569,392400
"7/21/2017",1200000,1244780,2053300,44780,39.38,1500,76,144,1.89,16378.68,8644.31,50,24896,526075
"7/22/2017",2400000,1637360,4043550,-762640,59.51,1837,124,288,2.32,13204.52,5685.28,76,21544,1056337
"7/23/2017",2400000,1701250,4264830,-698750,60.11,1861,127,290,2.28,13395.67,5866.38,80,21266,1096382
"7/24/2017",1200000,840170,2032110,-359830,58.66,959,75,147,1.96,11202.27,5715.44,50,16803,548061
"7/25/2017",1200000,1097750,2109210,-102250,47.95,1034,63,149,2.37,17424.6,7367.45,40,27444,592273
"7/26/2017",1200000,901570,1985660,-298430,54.6,977,64,156,2.44,14087.03,5779.29,52,17338,516599
"7/27/2017",1200000,1351520,3207700,151520,57.87,1462,100,226,2.26,13515.2,5980.18,50,27030,816744
"7/28/2017",1200000,1589400,3761010,389400,57.74,1713,112,269,2.4,14191.07,5908.55,62,25635,983070
"7/29/2017",2e+06,1818810,4819960,-181190,62.27,1858,143,330,2.31,12718.95,5511.55,78,23318,1222936
"7/30/2017",2e+06,1802700,4106950,-197300,56.11,1910,129,280,2.17,13974.42,6438.21,68,26510,1036701
"7/31/2017",1200000,1313940,2952310,113940,55.49,1440,108,195,1.81,12166.11,6738.15,58,22654,750627
"9/1/2017",2e+06,2511470,3465350,511470,27.53,1619,115,213,1.85,21838.87,11790.94,60,41858,981744
"9/2/2017",2e+06,1911710,2349750,-88290,18.64,1528,70,145,2.07,27310.14,13184.21,88,21724,679073
"9/3/2017",1800000,1806490,2242150,6490,19.43,1408,71,137,1.93,25443.52,13186.06,58,31146,676989
"9/4/2017",1500000,973340,1232450,-526660,21.02,712,46,71,1.54,21159.57,13709.01,50,19467,869054
"9/5/2017",1500000,1182720,1299750,-317280,9,819,51,85,1.67,23190.59,13914.35,50,23654,382419
"9/6/2017",1500000,600010,896200,-899990,33.05,816,38,56,1.47,25565.26,17347.86,50,12000,243931
"9/7/2017",1500000,966820,1155550,-533180,16.33,822,47,69,1.47,20570.64,14011.88,52,18593,323439
"9/8/2017",1500000,1208770,1534800,-291230,21.24,942,63,104,1.65,19186.83,11622.79,50,24175,448533
"9/9/2017",2e+06,1956770,2429600,-43230,19.46,1343,83,148,1.78,23575.54,13221.42,60,32613,686862
"9/10/2017",2e+06,2171040,2888600,171040,24.84,1438,88,188,2.14,24670.91,11548.09,60,36184,384630
"9/11/2017",1500000,850690,1248100,-649310,31.84,851,35,78,2.23,24305.43,10906.28,50,17014,406055
"9/12/2017",1500000,1044990,1361150,-455010,23.23,845,48,77,1.6,21770.63,13571.3,40,26125,473736
"9/13/2017",1500000,1110900,1640600,-389100,32.29,811,56,88,1.57,19837.5,12623.86,42,26450,222055
"9/14/2017",1500000,736560,733850,-763440,-0.37,876,29,43,1.48,25398.62,17129.3,38,19383,377239
"9/15/2017",1500000,1231290,1238550,-268710,0.59,849,52,69,1.33,23678.65,17844.78,42,29316,405200
"9/16/2017",1800000,2269710,2300200,469710,1.33,1412,85,136,1.6,26702.47,16689.04,64,35464,699614
"9/17/2017",1800000,1989890,1999950,189890,0.5,1163,74,121,1.64,26890.41,16445.37,50,39798,616142
"9/18/2017",1300000,581620,603000,-718380,3.55,664,29,40,1.38,20055.86,14540.5,42,13848,188284
"9/19/2017",1300000,926040,930700,-373960,0.5,607,25,46,1.84,37041.6,20131.3,42,22049,270491
"9/20/2017",1300000,1019150,1019700,-280850,0.05,739,44,66,1.5,23162.5,15441.67,40,25479,311869
"9/21/2017",1300000,1072530,1078800,-227470,0.58,747,47,64,1.36,22819.79,16758.28,42,25536,339492
"9/22/2017",1300000,1768780,1838700,468780,3.8,1174,70,106,1.51,25268.29,16686.6,46,38452,580804
"9/23/2017",1800000,2209160,2265300,409160,2.48,1284,76,134,1.76,29067.89,16486.27,52,42484,716424
"9/24/2017",1800000,2877510,3013850,1077510,4.52,1280,90,163,1.81,31972.33,17653.44,54,53287,948443
"9/25/2017",1300000,1867360,1912450,567360,2.36,1142,56,91,1.63,33345.71,20520.44,42,44461,602678
"9/26/2017",1300000,961640,973850,-338360,1.25,775,35,63,1.8,27475.43,15264.13,42,22896,299034
"9/27/2017",1300000,971480,979450,-328520,0.81,817,40,51,1.28,24287,19048.63,50,19430,308351
"9/28/2017",1300000,1211090,1267550,-88910,4.45,1130,46,69,1.5,26328.04,17552.03,52,23290,398089
"9/29/2017",1300000,1342630,1396400,42630,3.85,1160,52,72,1.38,25819.81,18647.64,60,22377,408853
"9/30/2017",1800000,2779570,2884150,979570,3.63,2234,90,157,1.74,30884.11,17704.27,60,46326,901139
"10/1/2017",2500000,2713940,2795600,213940,2.92,2128,78,148,1.9,34794.1,18337.43,42,64618,867596
"10/2/2017",1400000,1065430,1091800,-334570,2.42,849,39,64,1.64,27318.72,16647.34,42,25367,345134
"10/3/2017",1400000,1326210,1372050,-73790,3.34,1151,41,79,1.93,32346.59,16787.47,42,31576,429386
"10/4/2017",1400000,1463790,1514100,63790,3.32,1233,42,78,1.86,34852.14,18766.54,42,34852,472027
"10/5/2017",1400000,2050990,2115100,650990,3.03,1417,61,118,1.93,33622.79,17381.27,42,48833,658993
"10/6/2017",1400000,1875290,2027500,475290,7.51,1458,69,110,1.59,27178.12,17048.09,42,44650,645772
"10/7/2017",2500000,3295300,3600150,795300,8.47,2184,105,197,1.88,31383.81,16727.41,50,65906,1125859
"10/8/2017",2500000,2730450,2996250,230450,8.87,1678,93,175,1.88,29359.68,15602.57,56,48758,939325
"10/9/2017",1400000,1432320,1541550,32320,7.09,1040,56,89,1.59,25577.14,16093.48,42,34103,485233
"10/10/2017",1400000,1479470,1584950,79470,6.66,909,49,81,1.65,30193.27,18265.06,42,35225,502893
"10/11/2017",1400000,923940,1023000,-476060,9.68,750,49,60,1.22,18855.92,15399,42,21999,334003
"10/12/2017",1400000,1470070,1612350,70070,8.82,1100,53,93,1.75,27737.17,15807.2,42,35002,511759
"10/13/2017",1400000,1206040,1300600,-193960,7.27,1001,41,68,1.66,29415.61,17735.88,42,28715,405107
"10/14/2017",2500000,2476140,2739450,-23860,9.61,1584,86,151,1.76,28792.33,16398.28,58,42692,861841
"10/15/2017",2500000,2189400,2313700,-310600,5.37,1341,84,126,1.5,26064.29,17376.19,62,35313,720820
"10/16/2017",1400000,417020,455500,-982980,8.45,537,21,30,1.43,19858.1,13900.67,28,14894,140606
"10/17/2017",1400000,878470,928250,-521530,5.36,823,34,55,1.62,25837.35,15972.18,50,17569,284605
"10/18/2017",1400000,952010,1033150,-447990,7.85,583,35,57,1.63,27200.29,16701.93,42,22667,324383
"10/19/2017",1400000,1252070,1319750,-147930,5.13,1040,46,65,1.41,27218.91,19262.62,50,25041,408373
"10/20/2017",1400000,1230400,1327600,-169600,7.32,931,32,68,2.13,38450,18094.12,42,29295,398715
"10/21/2017",2500000,1863190,1997000,-636810,6.7,1275,55,100,1.82,33876.18,18631.9,60,31053,598105
"10/22/2017",2500000,2464030,2643000,-35970,6.77,1682,74,140,1.89,33297.7,17600.21,66,37334,747746
"10/23/2017",1400000,633690,661050,-766310,4.14,736,34,39,1.15,18637.94,16248.46,46,13776,188755
"10/24/2017",1400000,868240,921650,-531760,5.8,569,25,47,1.88,34729.6,18473.19,50,17365,246452
"10/25/2017",1400000,1243360,1346450,-156640,7.66,964,40,71,1.78,31084,17512.11,50,24867,406128
"10/26/2017",1400000,1567630,1634850,167630,4.11,1088,61,83,1.36,25698.85,18887.11,50,31353,464442
"10/27/2017",1400000,1009620,1100200,-390380,8.23,981,36,56,1.56,28045,18028.93,58,17407,324578
"10/28/2017",2200000,2757290,2981700,557290,7.53,1475,91,146,1.6,30299.89,18885.55,86,32062,875316
"10/29/2017",2200000,2614940,2708250,414940,3.45,1800,78,135,1.73,33524.87,19369.93,72,36319,777872
"10/30/2017",1300000,1169430,1313350,-130570,10.96,862,44,73,1.66,26577.95,16019.59,48,24363,394722
"10/31/2017",1300000,1291300,1364350,-8700,5.35,952,35,73,2.09,36894.29,17689.04,50,25826,372956
"11/1/2017",1200000,1128810,1233650,-71190,8.5,1026,43,67,1.56,26251.4,16847.91,46,24539,358384
"11/2/2017",1200000,1274480,1334850,74480,4.52,1002,36,83,2.31,35402.22,15355.18,32,39828,395756
"11/3/2017",1200000,1236200,1396350,36200,11.47,997,40,73,1.83,30905,16934.25,45,27471,389628
"11/4/2017",2600000,1840080,2111500,-759920,12.85,1489,68,110,1.62,27060,16728,68,27060,608392
"11/5/2017",2600000,2894060,3396250,294060,14.79,1891,83,175,2.11,34868.19,16537.49,68,42560,934611
"11/6/2017",1200000,919590,1109500,-280410,17.12,936,32,50,1.56,28737.19,18391.8,48,19158,324397
"11/7/2017",1200000,912760,1045050,-287240,12.66,959,30,59,1.97,30425.33,15470.51,60,15213,293998
"11/8/2017",1200000,1029540,1188800,-170460,13.4,857,44,64,1.45,23398.64,16086.56,50,20591,307512
"11/9/2017",1200000,825980,925950,-374020,10.8,992,27,41,1.52,30591.85,20145.85,46,17956,256055
"11/10/2017",1200000,1527520,1772000,327520,13.8,1042,38,80,2.11,40197.89,19094,54,28287,508446
"11/11/2017",2600000,2408630,2838650,-191370,15.15,1803,69,127,1.84,34907.68,18965.59,64,37635,825672
"11/12/2017",2600000,2302780,2664200,-297220,13.57,1621,72,116,1.61,31983.06,19851.55,64,35981,773249
"11/13/2017",1200000,1097110,1237850,-102890,11.37,935,34,63,1.85,32267.94,17414.44,46,23850,361262
"11/14/2017",1200000,1583990,1806200,383990,12.3,1144,35,76,2.17,45256.86,20841.97,54,29333,525646
"11/15/2017",1200000,819970,937400,-380030,12.53,993,32,54,1.69,25624.06,15184.63,70,11714,276450
"11/16/2017",1200000,1074120,1197000,-125880,10.27,1059,38,64,1.68,28266.32,16783.13,88,12206,335157
"11/17/2017",1200000,1328140,1726550,128140,23.08,1055,46,89,1.93,28872.61,14922.92,90,14757,488781
"11/18/2017",2600000,2138660,2852300,-461340,25.02,1599,73,154,2.11,29296.71,13887.4,108,19802,837875
"11/19/2017",2600000,2937620,3708800,337620,20.79,1779,75,184,2.45,39168.27,15965.33,106,27713,1112029
"11/20/2017",1200000,1326200,1698050,126200,21.9,998,49,79,1.61,27065.31,16787.34,84,15788,507608
"11/21/2017",1200000,602690,714000,-597310,15.59,675,24,40,1.67,25112.08,15067.25,80,7534,214359
"11/22/2017",1200000,1271640,1605450,71640,20.79,1086,42,91,2.17,30277.14,13974.07,86,14787,463603
"11/23/2017",1200000,872480,1099050,-327520,20.62,1053,34,59,1.74,25661.18,14787.8,98,8903,331083
"11/24/2017",1200000,2465780,3866200,1265780,36.22,2232,99,196,1.98,24906.87,12580.51,84,29355,1127704
"11/25/2017",2600000,2297250,3398200,-302750,32.4,2353,74,176,2.38,31043.92,13052.56,108,21271,972401
"11/26/2017",2600000,1733150,2345600,-866850,26.11,1660,63,128,2.03,27510.32,13540.23,100,17332,709226
"11/27/2017",1100000,807850,1035300,-292150,21.97,862,26,54,2.08,31071.15,14960.19,84,9617,308632
"11/28/2017",1100000,1086330,1370400,-13670,20.73,903,32,72,2.25,33947.81,15087.92,80,13579,411130
"11/29/2017",1100000,440240,547550,-659760,19.6,802,19,29,1.53,23170.53,15180.69,86,5119,169701
"11/30/2017",1100000,1447990,1915650,347990,24.41,1200,39,107,2.74,37127.95,13532.62,92,15739,560724
"12/1/2017",2500000,2004620,2677200,-495380,25.12,1886,88,136,1.55,22779.77,14739.85,116,17281,788743
"12/2/2017",2500000,1829180,2420350,-670820,24.42,1746,69,133,1.93,26509.86,13753.23,96,19054,732353
"12/3/2017",2500000,2156730,2916650,-343270,26.05,1884,82,167,2.04,26301.59,12914.55,100,21567,887685
"12/4/2017",1100000,1205750,1648400,105750,26.85,1013,45,92,2.04,26794.44,13105.98,84,14354,502975
"12/5/2017",1100000,697440,890600,-402560,21.69,649,34,48,1.41,20512.94,14530,80,8718,266831
"12/6/2017",1100000,794990,1033400,-305010,23.07,753,33,52,1.58,24090.61,15288.27,98,8112,295625
"12/7/2017",1100000,823010,1099150,-276990,25.12,993,30,57,1.9,27433.67,14438.77,80,10288,381622
"12/8/2017",1100000,950990,1246500,-149010,23.71,931,41,70,1.71,23194.88,13585.57,84,11321,381622
"12/9/2017",2800000,1800640,2355350,-999360,23.55,1822,80,133,1.66,22508,13538.65,106,16987,718894
"12/10/2017",2800000,2620920,3506350,-179080,25.25,1847,91,193,2.12,28801.32,13579.9,100,26209,1067893
"12/11/2017",1e+06,961230,1242400,-38770,22.63,873,46,72,1.57,20896.3,13350.42,84,11443,366864
"12/12/2017",1e+06,714940,919700,-285060,22.26,861,25,46,1.84,28597.6,15542.17,90,7944,289977
"12/13/2017",1e+06,1102230,1449300,102230,23.95,995,44,74,1.68,25050.68,14895,96,11482,423191
"12/14/2017",1e+06,1004350,1291400,4350,22.23,855,45,72,1.6,22318.89,13949.31,96,10462,390136
"12/15/2017",1e+06,1505010,2476450,505010,39.23,1096,68,131,1.93,22132.5,11488.63,98,15357,713724
"12/16/2017",2200000,2684300,4510200,484300,40.48,2333,138,236,1.71,19451.45,11374.15,116,23141,1229030
"12/17/2017",2100000,2876570,4874000,776570,40.98,2242,165,260,1.58,17433.76,11063.73,108,26635,1396605
"12/18/2017",2500000,2430410,3989000,-69590,39.07,1881,144,220,1.53,16877.85,11047.32,110,22095,1150599
"12/19/2017",2500000,2142060,3508600,-357940,38.95,1515,114,188,1.65,18790,11393.94,110,19473,1002455
"12/20/2017",1e+06,931370,1538850,-68630,39.48,877,57,83,1.46,16339.82,11221.33,86,10830,430141
"12/21/2017",1e+06,1364050,2258150,364050,39.59,1019,78,117,1.5,17487.82,11658.55,104,13116,648806
"12/22/2017",1e+06,1105880,1781200,105880,37.91,1085,63,96,1.52,17553.65,11519.58,100,11059,495999
"12/23/2017",2800000,2595760,4152550,-204240,37.49,2128,123,209,1.7,21103.74,12419.9,114,22770,1177395
"12/24/2017",2800000,2792810,4445850,-7190,37.18,1970,122,223,1.83,22891.89,12523.81,110,25389,1304234
"12/25/2017",1400000,1129780,1754150,-270220,35.59,987,71,97,1.37,15912.39,11647.22,98,11528,525591
"12/26/2017",1400000,1838000,2685600,438000,31.56,1148,84,148,1.76,21880.95,12418.92,88,20886,767913
"12/27/2017",1400000,1480360,2375450,80360,37.68,1175,70,131,1.87,21148,11300.46,86,17213,677285
"12/28/2017",1400000,1988590,3116100,588590,36.18,1466,97,178,1.84,20500.93,11171.85,96,20714,929266
"12/29/2017",2700000,2411780,3943850,-288220,38.85,1667,120,223,1.86,20098.17,10815.16,104,23190,1227513
"12/30/2017",2800000,4173640,6931050,1373640,39.78,2580,223,379,1.7,18715.87,11012.24,116,35980,2087584
"12/31/2017",2400000,2634830,4352350,234830,39.46,1830,126,233,1.85,20911.35,11308.28,96,27446,1295496
"2/1/2018",2780488,952580,1434950,-1827908,33.62,717,49,81,1.65,19440.41,11760.25,42,22680,423821
"1/2/2018",2780488,1357020,2298250,-1423468,40.95,1215,93,135,1.45,14591.61,10052,72,18848,668646
"1/3/2018",1390244,1562750,2532150,172506,38.28,1223,84,137,1.63,18604.17,11406.93,90,17364,724951
"1/4/2018",1390244,1435960,2302450,45716,37.63,1088,81,131,1.62,17727.9,10961.53,90,15955,682879
"1/5/2018",1390244,2244540,4525000,854296,50.4,1316,123,260,2.11,18248.29,8632.85,106,21175,1342809
"1/6/2018",2780488,3004130,5948150,223642,49.49,1891,169,317,1.88,17775.92,9476.75,116,25898,1742301
"1/7/2018",2780488,2488070,4993100,-292418,50.17,1842,171,318,1.86,14550.12,7824.12,104,23924,1526907
"1/8/2018",1390244,697560,1456200,-692684,52.1,732,51,96,1.88,13677.65,7266.25,78,8943,444823
"1/9/2018",1390244,1139540,2241950,-250704,49.17,978,63,141,2.24,18087.94,8081.84,84,13566,665661
"1/10/2018",1390244,1475500,3001400,85256,50.84,954,99,172,1.74,14904.04,8578.49,100,14755,895229
"1/11/2018",1390244,938900,1851400,-451344,49.29,966,73,112,1.53,12861.64,8383.04,84,11177,548871
"1/12/2018",1390244,918270,2070450,-471974,55.65,832,61,111,1.82,15053.61,8272.7,94,9769,597794
"1/13/2018",2780488,1871830,3916050,-908658,52.2,1513,122,219,1.8,15342.87,8547.17,102,18351,1156474
"1/14/2018",2780488,1839750,4061300,-940738,54.7,1300,125,234,1.87,14718,7862.18,106,17356,1183927
"1/15/2018",1200000,738990,1452600,-461010,49.13,745,44,88,2,16795.23,8397.61,96,7698,433680
"1/16/2018",1200000,852820,1882450,-347180,54.7,903,59,111,1.88,14454.58,7683.06,94,9073,524878
"1/17/2018",1200000,769910,1725010,-430090,55.37,787,61,100,1.64,12621.48,7699.1,78,9871,529465
"1/18/2018",1200000,1316790,3297950,116790,60.07,1130,97,201,2.07,13575.15,6551.19,76,17326,991838
"1/19/2018",1200000,1374020,3569550,174020,61.51,1130,118,229,1.94,11644.24,6000.09,98,14021,1038904
"1/20/2018",2200000,2830790,7188850,630790,60.62,2254,203,423,2.08,13944.78,6692.17,102,27753,2083488
"1/21/2018",2200000,2444880,6167900,244880,60.36,1948,183,382,2.09,13360,6400.21,106,23065,1837323
"1/22/2018",1200000,772260,2018620,-427740,61.74,811,66,126,1.91,11700.91,6129.05,94,8216,599794
"1/23/2018",1200000,1331660,3450320,131660,61.4,1075,91,209,2.3,14633.63,6371.58,96,13871,987270
"1/24/2018",1200000,963780,2488750,-236220,61.27,1079,85,145,1.71,11338.59,6646.76,88,10952,747913
"1/25/2018",1200000,857070,1358130,-342930,36.89,972,77,136,1.77,11130.78,6301.99,94,9118,680623
"1/26/2018",1200000,1165880,1704480,-34120,31.6,866,95,173,1.82,12272.42,6739.19,98,11897,865737
"1/27/2018",2200000,2178930,3410370,-21070,36.11,1727,164,314,1.91,13286.16,6939.27,102,21362,1680356
"1/28/2018",2e+06,1982540,4658750,-17460,57.44,1711,147,265,1.8,13486.67,7481.28,110,18023,1409794
"1/29/2018",1200000,742340,1836450,-457660,59.58,800,49,111,2.27,15149.8,6687.75,94,7897,559850
"1/30/2018",1200000,822860,2144650,-377140,61.63,917,82,127,1.55,10034.88,6479.21,94,8754,650268
"1/31/2018",1200000,1434670,2429230,234670,40.94,1077,103,242,2.35,13928.83,5928.39,88,16303,1173065
"2/1/2018",1500000,1006910,1573190,-493090,36,1022,82,158,1.93,12279.39,6372.85,88,11442,794960
"2/2/2018",1600000,921080,2386550,-678920,61.41,918,76,143,1.88,12119.47,6441.12,98,9399,722112
"2/3/2018",2800000,1914480,4758860,-885520,59.77,1830,120,277,2.31,15954,6911.48,120,15954,1470718
"2/4/2018",2800000,2267000,5765850,-533000,60.68,1801,177,323,1.82,12807.91,7018.58,106,21387,1737407
"2/5/2018",1500000,813020,2039150,-686980,60.13,795,62,117,1.89,13113.23,6948.89,94,8649,610510
"2/6/2018",1500000,909870,2103450,-590130,56.74,859,69,131,1.9,13186.52,6945.57,94,9679,621494
"2/7/2018",1500000,862680,1290820,-637320,33.17,875,87,130,1.49,9915.86,6636,100,8627,632351
"2/8/2018",1500000,818030,1198570,-681970,31.75,890,67,128,1.91,12209.4,6390.86,92,8892,620408
"2/9/2018",1500000,1072680,2178350,-427320,50.76,910,57,133,2.33,18818.95,8065.26,98,10946,668365
"2/10/2018",2800000,2088990,5185050,-711010,59.71,1963,168,319,1.9,12434.46,6548.56,112,18652,1552666
"2/11/2018",2800000,1646300,2230550,-1153700,26.19,1589,136,243,1.79,12105.15,6774.9,110,14966,1168420
"2/12/2018",1500000,631410,1662200,-868590,62.01,686,52,96,1.85,12142.5,6577.19,94,6717,490150
"2/13/2018",1500000,903380,2069550,-596620,56.35,825,85,129,1.52,10628,7002.95,94,9610,632985
"2/14/2018",1500000,1118420,1309080,-381580,14.56,1069,89,150,1.69,12566.52,7456.13,86,13005,721911
"2/15/2018",1500000,1084870,1421140,-415130,23.66,1082,74,149,2.01,14660.41,7281.01,92,11792,773474
"2/16/2018",1500000,1221320,1501240,-278680,18.65,1205,89,149,1.67,13722.7,8196.78,94,12993,836271
"2/17/2018",2800000,1958360,4458700,-841640,56.08,2066,126,266,2.11,15542.54,7362.26,116,16882,1331369
"2/18/2018",2800000,1919990,4634600,-880010,58.57,1829,137,268,1.96,14014.53,7164.14,106,18113,1402665
"2/19/2018",1500000,861880,1949100,-638120,55.78,876,74,118,1.59,11647.03,7304.07,90,9576,575360
"2/20/2018",1500000,671620,1555000,-828380,56.81,906,59,100,1.69,11383.39,6716.2,59,11383,467457
"2/21/2018",1500000,817700,1746910,-682300,53.19,962,60,111,1.85,13628.33,7366.67,76,10759,539422
"2/22/2018",1500000,1110500,2770350,-389500,59.91,1207,85,173,2.04,13064.71,6419.08,85,13065,826636
"2/23/2018",1500000,1279530,2866200,-220470,55.36,1218,92,176,1.91,13907.93,7270.06,104,12303,855006
"2/24/2018",2800000,1561450,3449400,-1238550,54.73,1510,132,212,1.61,11829.17,7365.33,116,13461,1014796
"2/25/2018",2800000,1788220,4214460,-1011780,57.57,2193,141,260,1.84,12682.41,6877.77,114,15686,1253583
"2/26/2018",1500000,780830,1920950,-719170,59.35,939,49,121,2.47,15935.31,6453.14,94,8307,571733
"2/27/2018",1500000,574690,1237000,-925310,53.54,717,39,80,2.05,14735.64,7183.63,94,6114,369130
"2/28/2018",1500000,1441380,3668050,-58620,60.7,1237,83,239,2.88,17366.02,6030.88,92,15667,1090611
"3/1/2018",1100000,743700,803700,-356300,7.47,811,25,46,1.84,29748,16167.39,62,11995,245325
"3/2/2018",1100000,437200,436350,-662800,-0.19,703,17,39,2.29,25717.65,11210.26,72,6072,144182
"3/3/2018",1500000,811220,777200,-688780,-4.38,1008,41,56,1.37,19785.85,14486.07,76,10674,249631
"3/4/2018",2200000,1362290,1368150,-837710,0.43,1674,59,97,1.64,23089.66,14044.23,96,14191,436881
"3/5/2018",1100000,865570,899600,-234430,3.78,914,45,68,1.51,19234.89,12728.97,72,12022,287202
"3/6/2018",1100000,930100,925150,-169900,-0.54,818,31,57,1.84,30003.23,16317.54,72,12918,286955
"3/7/2018",1600000,692380,785150,-907620,11.82,958,42,57,1.36,16485.24,12147.02,84,8243,242597
"3/8/2018",2200000,1152650,1360350,-1047350,15.27,2122,73,93,1.27,15789.73,12394.09,104,11083,423063
"3/9/2018",2200000,1627170,1884850,-572830,13.67,1792,77,123,1.6,21132.08,13229.02,98,16604,604836
"3/10/2018",2e+06,1347050,1580900,-652950,14.79,1373,61,102,1.67,22082.79,13206.37,86,15663,503549
"3/11/2018",2e+06,1213600,1427500,-786400,14.98,1454,58,90,1.55,20924.14,13484.44,104,11669,447976
"3/12/2018",1100000,231250,229250,-868750,-0.87,436,15,15,1,15416.67,15416.67,68,3401,73369
"3/13/2018",1100000,449860,454650,-650140,1.05,481,20,27,1.35,22493,16661.48,68,6616,141600
"3/14/2018",1100000,1018200,1028110,-81800,0.96,635,33,58,1.76,30854.55,17555.17,76,13397,323692
"3/15/2018",1100000,724210,772650,-375790,6.27,750,30,47,1.57,24140.33,15408.72,76,9529,250216
"3/16/2018",1100000,656520,674000,-443480,2.59,631,28,40,1.43,23447.14,16413,90,7295,216806
"3/17/2018",2200000,1500490,1569450,-699510,4.39,1235,56,90,1.61,26794.46,16672.11,90,16672,491978
"3/18/2018",2200000,1761440,1814650,-438560,2.93,1565,56,107,1.91,31454.29,16462.06,100,17614,573650
"3/19/2018",1100000,874310,910950,-225690,4.02,794,37,61,1.65,23630,14332.95,70,12490,289816
"3/20/2018",1400000,1003200,1052650,-396800,4.7,1031,51,67,1.31,19670.59,14973.13,100,10032,333296
"3/21/2018",2200000,2152900,2226800,-47100,3.32,1760,69,124,1.8,31201.45,17362.1,86,25034,699680
"3/22/2018",2200000,1422340,1479250,-777660,3.85,1446,57,95,1.67,24953.33,14972,98,14514,460467
